SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,2/23/20,Hubei,Mainland China,2020-02-23T11:33:03,64084,2346,15343
2,2/23/20,Guangdong,Mainland China,2020-02-23T08:53:02,1342,6,755
3,2/23/20,Henan,Mainland China,2020-02-23T10:23:02,1271,19,868
4,2/23/20,Zhejiang,Mainland China,2020-02-23T13:43:02,1205,1,760
5,2/23/20,Hunan,Mainland China,2020-02-23T10:33:03,1016,4,714
6,2/23/20,Anhui,Mainland China,2020-02-23T10:53:02,989,6,637
7,2/23/20,Jiangxi,Mainland China,2020-02-23T09:23:02,934,1,613
8,2/23/20,Shandong,Mainland China,2020-02-23T11:33:03,754,4,321
9,2/23/20,Diamond Princess cruise ship,Others,2020-02-23T22:33:03,691,3,0
10,2/23/20,Jiangsu,Mainland China,2020-02-23T08:53:02,631,0,418
11,2/23/20,,South Korea,2020-02-23T23:33:07,602,6,18
12,2/23/20,Chongqing,Mainland China,2020-02-23T23:13:05,575,6,335
13,2/23/20,Sichuan,Mainland China,2020-02-23T08:53:02,526,3,261
14,2/23/20,Heilongjiang,Mainland China,2020-02-23T13:43:02,480,12,222
15,2/23/20,Beijing,Mainland China,2020-02-23T01:13:13,399,4,189
16,2/23/20,Shanghai,Mainland China,2020-02-23T03:13:07,335,3,249
17,2/23/20,Hebei,Mainland China,2020-02-23T11:33:03,311,6,219
18,2/23/20,Fujian,Mainland China,2020-02-23T10:33:03,293,1,170
19,2/23/20,Guangxi,Mainland China,2020-02-23T10:33:03,249,2,106
20,2/23/20,Shaanxi,Mainland China,2020-02-23T12:13:14,245,1,163
21,2/23/20,Yunnan,Mainland China,2020-02-23T05:33:03,174,2,115
22,2/23/20,Hainan,Mainland China,2020-02-23T23:23:03,168,5,106
23,2/23/20,,Italy,2020-02-23T23:43:02,155,3,2
24,2/23/20,,Japan,2020-02-23T23:33:07,147,1,22
25,2/23/20,Guizhou,Mainland China,2020-02-23T12:43:02,146,2,102
26,2/23/20,Tianjin,Mainland China,2020-02-23T12:43:02,135,3,81
27,2/23/20,Shanxi,Mainland China,2020-02-23T23:03:08,132,0,88
28,2/23/20,Liaoning,Mainland China,2020-02-23T13:33:02,121,1,73
29,2/23/20,Gansu,Mainland China,2020-02-23T13:23:06,91,2,78
30,2/23/20,Jilin,Mainland China,2020-02-23T12:43:02,91,1,54
31,2/23/20,,Singapore,2020-02-23T15:13:15,89,0,51
32,2/23/20,Xinjiang,Mainland China,2020-02-23T14:43:04,76,2,28
33,2/23/20,Inner Mongolia,Mainland China,2020-02-23T09:43:02,75,0,27
34,2/23/20,Hong Kong,Hong Kong,2020-02-23T09:53:02,74,2,11
35,2/23/20,Ningxia,Mainland China,2020-02-23T05:33:03,71,0,56
36,2/23/20,,Iran,2020-02-23T15:13:15,43,8,0
37,2/23/20,,Thailand,2020-02-23T15:03:05,35,0,21
38,2/23/20,Taiwan,Taiwan,2020-02-23T09:53:02,28,1,2
39,2/23/20,,Malaysia,2020-02-19T09:33:03,22,0,15
40,2/23/20,Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
41,2/23/20,,Germany,2020-02-21T23:03:13,16,0,14
42,2/23/20,,Vietnam,2020-02-21T06:03:04,16,0,14
43,2/23/20,,United Arab Emirates,2020-02-22T14:53:02,13,0,4
44,2/23/20,,France,2020-02-15T20:53:02,12,1,4
45,2/23/20,"Omaha, NE (From Diamond Princess)",US,2020-02-22T23:03:09,11,0,0
46,2/23/20,Macau,Macau,2020-02-20T02:13:19,10,0,6
47,2/23/20,,UK,2020-02-16T16:23:06,9,0,8
48,2/23/20,From Diamond Princess,Australia,2020-02-22T17:03:05,7,0,0
49,2/23/20,British Columbia,Canada,2020-02-21T05:23:04,6,0,0
50,2/23/20,Queensland,Australia,2020-02-21T05:43:02,5,0,1
51,2/23/20,"Travis, CA (From Diamond Princess)",US,2020-02-22T17:13:24,5,0,0
52,2/23/20,New South Wales,Australia,2020-02-13T17:53:03,4,0,4
53,2/23/20,Victoria,Australia,2020-02-13T17:53:03,4,0,4
54,2/23/20,,India,2020-02-16T07:43:02,3,0,3
55,2/23/20,,Philippines,2020-02-12T07:43:02,3,1,1
56,2/23/20,South Australia,Australia,2020-02-17T08:13:09,2,0,2
57,2/23/20,"Toronto, ON",Canada,2020-02-21T05:23:04,2,0,2
58,2/23/20,,Russia,2020-02-12T14:43:03,2,0,2
59,2/23/20,,Spain,2020-02-15T17:23:04,2,0,2
60,2/23/20,"Chicago, IL",US,2020-02-09T19:03:03,2,0,2
61,2/23/20,"Lackland, TX (From Diamond Princess)",US,2020-02-22T17:13:24,2,0,0
62,2/23/20,"San Benito, CA",US,2020-02-03T03:53:02,2,0,0
63,2/23/20,"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1
64,2/23/20,"Santa Clara, CA",US,2020-02-21T05:23:04,2,0,1
65,2/23/20,,Belgium,2020-02-17T04:23:06,1,0,1
66,2/23/20,,Cambodia,2020-02-12T07:43:02,1,0,1
67,2/23/20,"London, ON",Canada,2020-02-12T18:53:03,1,0,1
68,2/23/20,,Egypt,2020-02-21T18:53:02,1,0,0
69,2/23/20,,Finland,2020-02-12T00:03:12,1,0,1
70,2/23/20,From Diamond Princess,Israel,2020-02-22T20:53:02,1,0,0
71,2/23/20,,Lebanon,2020-02-22T20:53:02,1,0,0
72,2/23/20,Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
73,2/23/20,,Nepal,2020-02-12T14:43:03,1,0,1
74,2/23/20,,Sri Lanka,2020-02-08T03:43:03,1,0,1
75,2/23/20,,Sweden,2020-02-01T02:13:26,1,0,0
76,2/23/20,"Boston, MA",US,2020-02-01T19:43:03,1,0,0
77,2/23/20,"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0
78,2/23/20,"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0
79,2/23/20,"Madison, WI",US,2020-02-05T21:53:02,1,0,0
80,2/23/20,"Orange, CA",US,2020-02-01T19:53:03,1,0,0
81,2/23/20,"Sacramento County, CA",US,2020-02-21T23:13:16,1,0,0
82,2/23/20,"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0
83,2/23/20,"Seattle, WA",US,2020-02-09T07:03:04,1,0,1
84,2/23/20,"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0
85,2/23/20,None,Iraq,2020-02-23T18:23:06,0,0,0